Shop Name,Owner,location,Description,Review,Sales,Item Types,Reviews
AchernarLeatherShop,Vinay Kumar,India,"Leather Shoes, Leather Mask with Fliter, Leather Totes
                                ",4,81,"['Thanks giving', 'Birthday', 'Wedding', 'Vintage Hip Flask', 'Leather Totes', 'Crossbody Bags', 'SALE! SALE! SALE!', 'Leather Messenger Bag', 'MacBook Laptop Accessory']","[['Crystal T', '5', 'I absolutely LOVE this tote! Shipping was a little lengthy but bag is Fabulous :-)'], ['Caroline', '5', 'I’m very happy with the quality of the bag and the responsive customer service. Would definitely recommend this seller'], ['Karolina', '5', 'Great communication from the seller! Thank you.'], ['N/A', '5', 'Thank u so much. You are very helpful and reply very quickly.'], ['Norah', '3', 'Not as expected, especially with how stitches look.'], ['John', '5', 'I needed to reward myself for a recent promotion. I wanted to upgrade my work brief to reflect how great I feel inside and out. What an exquisite piece of craft that fits my everyday business needs. And the customer service is 5*s. Thank you Vinay!!!'], ['Abhishek', '5', 'This is the 3rd bag I ordered for my mom as new year gift and she liked it very much. I must say this is also absolutely a beautiful bag from this shop. The leather feels good and remains soft. I like the fact it has no lining so you can see the leather in all its glory. The handle is perfect and had great color combination of brown and mango color with fantastic quality. The sellers were lovely to deal with and customer welfare driven. Thank you very much. \n\nHappy New Year 😊'], ['Amy', '5', ""The owner has been great to work with. I received exactly what I wanted and the shipment was fast too! Couldn't have had a better experience! The bag is beautiful. A really nice, brown leather. Fits under my arm perfectly and is the perfect size for all the stuff I carry with me. The zipper is a great option as well. I am very happy with my purchase! Thank you!""], ['Abhishek', '5', 'This might be the best purchase I have made this year! Seller was very communicative and even took my a lot of questions with great stride. The bag came very quickly, and when I received it....it took my breath away. The quality of this bag - WOW, Leather smelled so good and felt so soft. Definitely plan on buying another item from this seller again and soon!'], ['SEJAL', '5', 'Great quality handmade  leather purse \r\nWould buy again \r\nThank you so much']]"
AddyaIndia,Smriti,"Kolkata, West Bengal","Addya 

Comfortable Work & leisure wear.
                                ",0,0,[],[]
ADietitianGetsCrafty,Carrie Weitzel,"Colorado, United States","Handmade products with nutrition flare
                                ",5,9,['Glitter Letters'],"[['dianne', '5', 'Adorable.  Good workmanship and just the right size.'], ['Amy', '5', 'Great quality and super cute! I love them! Seller was easy to work with and quick to respond to any questions I had.'], ['Paula', '5', 'N/A']]"
AdornIndia,Sharmistha,"Kolkata, West Bengal","Combining Indian ethnicity with our favourite jewellery
                                ",0,0,[],[]
AeranJewellersIndia,Vivek,N/A,"Antique Jewellery, Beads, Gemstones,  Silver Antique
                                ",0,0,[],[]
AFEWGOODTHINGSIndia,afewgoodthings,N/A,"A retail therapy for your creative soul!
                                ",0,0,[],[]
AfricanGemsIndia,Mohd Tahir,India,"Africangemsindia 
                                ",4.9851,506,"['On sale', 'Moonstone', 'Ruby', 'NATURAL EMERALD', 'Hessonite', 'Garnet Hessonite', 'Garnet', 'Natural Blue Sapphire', 'opal', 'Natural Tsavorite', 'Natural White Sapphire', 'Blue sapphire Raw', 'Coral', 'Natural Morganite', 'Pink Tourmaline', 'Natural Kunzite', 'Tanzanite', 'Natural Yellow Sapphire', 'Natural Blue Topaz']","[['Ian', '5', 'Perfect quality. Gave it to jeweler friend who verified quality and making into ring :)'], ['bgkyytmv', '5', 'Truly the most beautiful emerald I have ever seen. \nAnd the seller is a wonderful person. Thank you so much for your effort to deliver this little treasure safely.'], ['Conrad', '5', 'There was a shipping mix up but they were very helpful and got it rerouted to me right away'], ['Amy', '5', 'Great collection of emeralds! Will definitely purchase again, thanks!'], ['Amy', '5', 'Great collection of emeralds! Will definitely purchase again, thanks!'], ['Yin', '5', 'very beautiful! Will definitely buy again. :)'], ['Rokstudy', '5', 'An incredible stone! It is perfect for the piece that I am creating for my nephew. Thank you!'], ['yoanna', '5', 'Happy and beautiful stone made into perfect ring!💚🙏10 stars☀️☀️☀️☀️☀️'], ['Monalisa', '5', 'Someone you can trust completely for authentic product. Extra ordinary customer service and very quick to respond, ship not to mention genuine product. Thank you Thank You Mohammad. Thank you for the gift as well! I will keep coming to this store and wld recommend it to everyone.'], ['Robert Jolley', '5', 'Very nice Emerald. More beautiful in person than in a picture. Good faceting. The color is absolutely lovely. A great addition to my collection. Thank you very much.']]"
Agapecoutureindia,Narendra Khinchi,India,"Agape Couture India
                                ",4,3,"['Dresses', 'Jumpsuits', 'Tops', 'Shrugs']","[['Surili', '5', 'I love this!!! I was able to get it in exactly my measurements too.'], ['Judith', '3', 'N/A']]"
AgarwalgemsIndia,Shyam Agarwal,"Jaipur, Rajasthan","Manufacturer, Wholesaler of Semiprecious Gemstone Beads
                                ",4.5556,105,"['On sale', 'Round Ball Beads', 'Rondelle Beads', 'Uncut Chips Beads', 'Heishi Beads', 'Oval Shape Beads', 'Briolette Beads', 'Round Faceted Ball beads', 'Fancy shapes', 'COIN SHAPE BEADS', 'FACETED BEADS']","[['Danielle', '5', 'These beads are beautiful. Thank you.'], ['Susan', '5', 'Beautiful! Exactly as pictured.'], ['Jonnie', '5', 'Beautiful!  Well represented by the photos.  Thank you Shyam.  Will definitely be ordering again.'], ['Lori', '5', 'Love the quality of these amazonite beads!'], ['Missy', '5', 'The shipping takes a while but the beads were beautiful and the size they were supposed to be which I appreciate.'], ['Bill', '5', 'I was happy with my order- good value'], ['Jaiadeva', '5', 'Good salesman, great product. Recommend.'], ['Shana', '5', 'N/A'], ['Shana', '5', 'N/A'], ['Shana', '5', 'N/A']]"
AGJewelryIndia,Mohd Amir,"Jaipur, Rajasthan","AG Jewelry India
                                ",5,7,"['Rings', 'Earrings', 'Pendants']","[['Patrick', '5', 'amazing. Just what the wife wanted'], ['Theresa', '5', 'Hello Amir,\nThe earring came at 6:45 Friday night/ I wore my long diamond tennis earring to the fundraiser.\nYOUR CHALCEDONY HANGS LONG EARRINGS ARE SIMPLY GORGEOUS. You wrapped them beautifully and a great hard earring box.\nYou are so sweet and generous to give me the beautiful onyx and crystal stone square stud earrings as a gift. I am wearing them today!!! I never had a pair such as these,. SOOOOO unique.\nI will be ordering again from you. Thank you so very much for all you do to make a customer happy!!\nHave a very blessed day. You are a blessing!!!!\nSincerely,\nTheresa W  Staten Island NY   USA'], ['Charlie and Anna', '5', 'This item arrived extremely quickly and is beautifully handmade and such good quality! Will definitely be buying from him again!'], ['sandra', '5', 'High quality article (very nice stone cutting and very nice stone! Neat and fast shipping! Excellent seller! I recommend!']]"
AISHWARIYACREATION,vishal,"Jaipur, Rajasthan","Fashion for YOU
                                ",0,0,[],[]
AJDIAMONDSINDIA,Ayush,"Surat, Gujarat","Handmade Jewelry That Makes You Proud.
                                ",0,0,[],[]
AKSHATIndia,PINKY RANAWAT,"Jaipur, Rajasthan","always keeps you one step ahead..
                                ",4.7654,351,"['On sale', 'silk scarf', 'TOP & TUNICS', 'hair accessories', 'POUCHES & PURSES', 'CURTAIN', 'sari skirt', 'silk remanants', 'sari dress', 'cotton remanants', 'vintage sari', 'natural items', 'handicraft item', 'vintage', 'canopy']","[['Marler,', '5', ""I just got my curtains and they are GORGEOUS. She worked with me on getting a color incorporated too - and just absolutely nailed it. I'm ordering more for my front rooms.""], ['jodiemcallister100', '5', 'Beautiful handmade curtains! I highly recommend.'], ['VixenInParadise', '5', 'Beautiful curtains and excellent communication from seller. Be patient with shipping time. They really added some happiness to the room. Love them.'], ['Rachel', '5', 'Absolutely love these curtains. They make my kitchen so bright and happy. Will definitely order more in the future!'], ['Koko', '5', 'Beautiful material! Looks just as—if not more—lovely in person. I am so excited to put it up!'], ['Richard', '5', 'Omg this is absolutely beautiful. The fabric combination, the way it drapes, the little accents. I love it. Thank you so much for setting the perfect vibe'], ['Barbara', '4', 'The colors are nice and they are very pretty for the price. The only thing I really objected to was that some of the panels in the curtains were pieced together and because the curtains are quite sheer, it detracts from the piece'], ['Naturals', '5', 'Love!!'], ['Eukie', '5', 'Love the drapes in my bedroom. Colors, fabric as described & are truly beautiful.'], ['LynnieW13', '5', 'This is a second order of these lovely curtains! I really like how they have a rod pocket instead of the tabs. Much classier looking!']]"
akwaycraft,Aashish,United States,"AKWAY
                                ",0,0,[],[]
AlbatrossIndia,Albatross,"Surat, Gujarat","Life is a fashion show the world is your runway ..
                                ",0,0,[],[]
AlemJewels,Alem,"Jaipur, Rajasthan","Handmade 925 Silver Jewelry with Natural Gemstones,
                                ",0,0,[],[]
algourigems,Abdul,"Jaipur, Rajasthan","Kyanite Hub
                                ",5,174,"['EMERALD', 'RUBY', 'KYANITE CABOCHON', 'CALIBRATED KYANITE', 'KYANITE OVAL', 'KYANITE OCTAGON', 'OPAL', 'MALACHITE/JASPER/AGATE', 'GARNET', 'NECKLACE']","[['Antonella', '5', 'Very pretty as in the picture!'], ['Daniel', '5', 'Great price. Awesome seller. Included findings for free so I could make my purchase into a necklace when I mentioned I was going to make my order into one.'], ['Bob Coia', '5', 'Abdul not only provided a beautiful blue kyanite gemstone but when the package was, at no fault of his own, sent to the incorrect shipping location Abdul coordinated across multiple shippers to rectify the situation. His efforts demonstrated not only wanting to market his products but to ensure that his customer was ultimately satisfied. Well done ABDUL!!!'], ['Bob Coia', '5', 'Abdul not only provided a beautiful blue kyanite gemstone but when the package was, at no fault of his own, sent to the incorrect shipping location Abdul coordinated across multiple shippers to rectify the situation. His efforts demonstrated not only wanting to market his products but to ensure that his customer was ultimately satisfied. Well done ABDUL!!!'], ['Bob Coia', '5', 'Abdul not only provided a beautiful blue kyanite gemstone but when the package was, at no fault of his own, sent to the incorrect shipping location Abdul coordinated across multiple shippers to rectify the situation. His efforts demonstrated not only wanting to market his products but to endure that his customer was ultimately satisfied. Well done ABDUL!!!'], ['Bob Coia', '5', 'Abdul not only provided a beautiful blue kyanite gemstone but when the package was, at no fault of his own, sent to the incorrect shipping location Abdul coordinated across multiple shippers to rectify the situation. His efforts demonstrated not only wanting to market his products but to ensure that his customer was ultimately satisfied. Well done ABDUL!!!'], ['Bob Coia', '5', 'Abdul not only provided a beautiful blue kyanite gemstone but when the package was, at no fault of his own, sent to the incorrect shipping location Abdul coordinated across multiple shippers to rectify the situation. His efforts demonstrated not only wanting to market his products but to ensure that his customer was ultimately satisfied. Well done ABDUL!!!'], ['Bob Coia', '5', 'Abdul not only provided a beautiful blue kyanite gemstone but when the package was, at no fault of his own, sent to the incorrect shipping location Abdul coordinated across multiple shippers to rectify the situation. His efforts demonstrated not only wanting to market his products but to endure that his customer was ultimately satisfied. Well done ABDUL!!!'], ['Bob Coia', '5', 'Abdul not only provided a beautiful blue kyanite gemstone but when the package was, at no fault of his own, sent to the incorrect shipping location Abdul coordinated across multiple shippers to rectify the situation. His efforts demonstrated not only wanting to market his products but to ensure that his customer was ultimately satisfied. Well done ABDUL!!!'], ['Bob Coia', '5', 'Abdul not only provided a beautiful blue kyanite gemstone but when the package was, at no fault of his own, sent to the incorrect shipping location Abdul coordinated across multiple shippers to rectify the situation. His efforts demonstrated not only wanting to market his products but to ensure that his customer was ultimately satisfied. Well done ABDUL!!!']]"
AlibabaGemsIndia,ALI,"Jaipur, Rajasthan","We are Manufacturer wholesaler of Beautiful Gemstone
                                ",4.6667,105,"['Pencil Point', 'Bracelet', 'Pyramid', 'Opalite/Obsidian', 'Beads', 'Opal', 'Labradorite/Wholesalelot', 'Amethyst']","[['Anthony', '5', 'Great 👍 thank you 🙏'], ['Shawna', '5', 'Item as advertised. Recipient was pleased.'], ['vittye', '5', 'Stone is exactly as described and of very good quality!'], ['Forward', '5', 'Pretty selection, would definitely order again. They’re a bit smaller than I expected, but I’m still happy with what arrived. Thank you!'], ['Kathryn', '5', 'Beautiful and flashy! I love it!'], ['Kathryn', '5', 'Beautiful and flashy! I love it!'], ['Jeff', '5', 'Great! Good Seller!'], ['siewyunseah', '5', 'I am very happy with the quality of the stone I received. Sender has been very efficient in sharing the delivery update with me too. It was a satisfied purchase. Thank you seller!!'], ['Natasha', '5', 'A beautiful stone cut to show off the rutiles perfectly'], ['Natasha', '5', 'As beautiful as the picture']]"
AliceAndIndia,Alice And India,N/A,"Handmade treasures for the soul ✨
                                ",4.25,57,[],"[['SANDRA', '5', 'Very lovely item fair price fast delivery'], ['Kimberly', '5', 'Took a while and comm’s weren’t clear.'], ['Maria', '5', 'Such a beautiful item! Thank you so much :) xx'], ['Gabriella', '1', 'I never received the item. Once I contacted Etsy to report that I didn’t need the item the seller decided to tell me she received it back and wasn’t sure why but never thought to message me and let me know. I waited two months and never received them.'], ['Sabrina', '5', 'N/A'], ['Liam King', '5', 'N/A'], ['Charlotte', '5', 'N/A'], ['David', '3', 'N/A']]"
ALIFHANDICRAFTINDIA,SALEEM AHMAD,N/A,"Handmade antique home decor & nauticals
                                ",3.6667,15,"['On sale', 'sextant', 'clock', 'walking stick', 'Brass compass', 'Sand timer', 'Brass telescope']","[['hayley', '1', ""This didn't work, but it looks pretty as an ornament.""], ['Jim', '5', 'My niece will be very impressed with this product!\nShipping was fast and I’ve already ordered another item!'], ['Emily', '5', 'The item was delivered and matches the description. It isnt as golden as the photo suggests, but thats because it is brass. Overall, I am happy with the product and Saleem was very helpful when there was an issue with delivery - Thanks Saleem! it makes a beautiful and unique gift.']]"
AliJewellesCo,Alis,"Jaipur, Rajasthan","All Kinds Of Gemstones And Jewellery
                                ",5,119,"['EMERALD', 'TOURMALINE', 'SPIECEMAN RAW', 'COPPER JEWELLERY', 'CABOCHONS', 'PENDANTS', 'RINGS', 'EARRINGS', 'BRACELET']","[['Caitlin ', '5', 'Looks just like the picture. Beautiful!'], ['josi', '5', 'Love this stone so much!'], ['F', '5', 'Nice ring, fast delivery, easy consultation with seller'], ['frank', '5', 'Highly recommend!'], ['Diana', '5', 'As I wrote before.  The seller did exactly as I requested. I did get expedited shipping and my ring arrived before the requested date.   Customer service with this shop is a very pleasant experience.'], ['Diana', '5', 'The seller was very pleasant to communicate with.  I wanted the ring here for a special day and the seller did what they could to get it to me.  Unfortunately FEDEX in the US is not so good anymore.   I did receive the ring 4 days before I needed to have it.'], ['Tiffany', '5', 'Item shipped quickly and it’s very cute, thank you!'], ['Rachel', '5', 'N/A'], ['amandinemaillot', '5', ""Beautiful jewelry, the pendant fits the description, no it exceeds it!I love this pendant, it shines with all the colors of the rainbow. It's a really nice job! Thank you 🙏""], ['Christine', '5', 'beautiful ring in Moldavite. It is really a very beautiful ring of quality. In addition, my order arrived 10 days early, very nice surprise']]"
ALittleBitofSummer,Summer Hayes,N/A,"A Little Bit of Summer ... Summertime fun year round!
                                ",4.9742,3705,"['State Collection', 'Pride Collection', 'Pet Collection', 'Light Saber Party Favors', 'Earrings', 'Ornaments', 'Keychains', 'Party decor', 'Wood signs', 'Confetti', 'Magnets', 'Baby signs', 'Tags']","[['Donna', '5', 'Very nice quality perfect for fall'], ['DEBORAH', '5', 'Really nice placemats.  Colorful & well made.  Just love them!!'], ['Haley', '5', 'This confetti is absolutely perfect!'], ['Courtney', '5', 'great! Was a hit at Crime Con!'], ['K', '5', 'Beautiful acrylic topper! Worked perfectly to celebrate our pet. The order was well packaged with a freebie and shipped ahead of schedule even.'], ['Haley', '5', 'This confetti was absolutely perfect!'], ['killian2009', '5', 'Lovely and sweet ornament.  Super fast shipment.  Thanks.'], ['Pat', '5', 'Love it!  Wonderful, personalized ornament!  Nicely packaged.  Fast shipping.'], ['Pat', '5', 'Love it!  Wonderful, personalized ornament!  Nicely packaged.  Fast shipping.'], ['Pat', '5', 'Love it!  Wonderful, personalized ornament!  Nicely packaged.  Fast shipping.']]"
AlizaDesignerBoutiqu,Aliza,"New Jersey, United States","Ethnic Indian Store, Sarees, Jewelry, Suits and more
                                ",4.8333,12,[],"[['rupa', '5', 'The customer service was phenomenal as I was getting the responses so quick and when mentioned there was a slight damage to the product, I was provided with many options as the seller wanted to please the customer. This is what customer service should be!'], ['Shraddha', '5', 'This neck piece with earrings is absolutely gorgeous.\nI received so so many compliments on it.\n\nThe product is of very good quality. Value of money!\nThe product arrived on time with nice packaging.\n\nJust amazing!\nLooking fwd to shop more from this seller.'], ['rupa', '5', 'N/A'], ['Sruthi', '5', 'N/A'], ['Jyoti', '5', 'N/A'], ['Beauty', '4', 'N/A']]"
allAboutFantasy,allAboutFantasy,"California, United States","Beautiful Fantasy Stuff.
                                ",5,83,[],"[['Dennis', '5', 'Love it!  Great little gift for a fellow Futurama fan and coworker moving on to a new group!'], ['Kevin', '5', 'I love the adjustable straps on the side of the mask, it really helps the mask fit better'], ['Robert Ward', '5', 'Suuuuper fast shipping based on the estimate. Mug quality exceeded expectations. Who doesn’t want to stare at the Zoid when sipping their tea?'], ['Kim', '5', 'Very nice and good quality.'], ['David', '5', 'Comfortable. exactly what I wanted'], ['Kristin', '5', ""Product was just as described on seller's page. Well received by the Sanderson fan it was a gift for""], ['pezmonkeyballs', '5', 'This mask was great! Easy to breathe and wear all day.']]"
ALLENINDIA,ALLENINDIA,N/A,"Quality ,Value AND Assured Super Shopping Experince
                                ",0,0,[],[]
Allgemstoneindia,Mohammed Amjad,"Jaipur, Rajasthan","I Am Manufactured & Wholesaler Of Beautiful Gemstone.
                                ",0,0,[],[]
AllinoneJewels,Harshit,"Jaipur, Rajasthan","Best Handmade Jewellery Seller 
Show Now
                                ",0,0,[],[]
Alllabradoriteindia,Shakil Ahmed,"Jaipur, Rajasthan","I Am Manufactured & Wholesaler Of Beautiful Gemstone
                                ",4.9429,113,"['Purple Labradorite', 'Labradorite', 'Blue Labradorite', 'Strawberry', 'Copper Labradorite', 'Lapis', 'Spectrolite', 'Labradorite Pendant', 'Druzy', 'Labradorite Lots', 'Wholesale Lots.', 'Labradorite Collage']","[['kristine', '5', 'Very lovely blues and good size.'], ['Jennifer', '5', 'Absolutely beautiful Labradorite! The fire and flash are gorgeous, and the finish is top notch. Shipping to Canada was extremely fast, and the seller was very communicative and friendly. I would recommend this store without reservation 😁 I’m pretty well stocked right now, or I’d be back for another order already! I’ll have to restrain myself for a month or so before I make another purchase 😆'], ['kristine', '5', 'An exquisite stone, just like the picture.'], ['Albert', '5', 'Every pieces are beautiful and polished well both front and back, came in different size which is great for my project, the red circle is a gift from the seller, thank you so much.🌟🌟🌟🌟🌟'], ['Albert', '5', 'Every pieces are beautiful and polished well both front and back, came in different size which is great for my project, the red circle is a gift from the seller, thank you so much.🌟🌟🌟🌟🌟'], ['Albert', '5', 'Every pieces are beautiful and polished well both front and back, came in different size which is great for my project, the red circle is a gift from the seller, thank you so much.🌟🌟🌟🌟🌟'], ['Florida', '5', ""This seller is wonderful, not only he gave me a super good deal but the item arrived quicker than expected. He also address all of my questions right away. I'll be buying soon again ⭐⭐⭐⭐⭐""], ['Sierra', '5', 'Wow! These are so gorgeous! They were exactly the size I needed. The seller was very helpful and the shipping was very fast, even though they were coming from India. They even sent me a little extra, and I couldn’t be happier with my purchase!'], ['mirjanaguconic1', '5', 'Exactly like on the picture and another lovely piece of Labradorite as a gift 💙💜💛'], ['flower', '5', 'The real thing was also a beautiful stone as shown in the photo.\nThere are also three.\nThe yellow stripes on the left two are very effective.\nThe small one on the right has a very beautiful purple color, and all three entertain me.\nI was happy that the gift also contained beautiful stones.\nAfter all, the luggage arrives early.\nIt is a shop that makes you want to shop again.']]"
